Year,Annual Data Services Cost,Monthly Cost,Average Monthly Unique Users,HDX Cost Per User
2014,"$2,435,990","$202,999",4624,43.90
2015,"$2,276,306","$189,692",9388,20.21
2016,"$2,320,070","$193,339",13603,14.21
2017,"$1,814,854","$151,238",19609,7.71
2018,"$1,768,257","$147,355",38439,3.83
2019,"$1,768,257","$147,355",54722,2.69
2020,"$1,743,007","$145,251",111734,1.30
2021,"$1,967,287","$163,941",114166,1.44
