Commodity,Date,Unit,Average Price
Fuel (petrol-gasoline),2019-01-15,L,254.25
Fuel (petrol-gasoline),2019-02-15,L,248.75
Fuel (petrol-gasoline),2019-03-15,L,328.1666666666667
Fuel (petrol-gasoline),2019-04-15,L,311.2857142857143
Fuel (petrol-gasoline),2019-05-15,L,285.1666666666667
Fuel (petrol-gasoline),2019-06-15,L,297.6666666666667
Fuel (petrol-gasoline),2019-07-15,L,300.1428571428572
Fuel (petrol-gasoline),2019-08-15,L,295.3333333333333
Fuel (petrol-gasoline),2019-09-15,L,308.4166666666667
Fuel (petrol-gasoline),2019-10-15,L,308.0
Fuel (petrol-gasoline),2019-11-15,L,210.0
Fuel (petrol-gasoline),2019-12-15,L,250.0
Fuel (petrol-gasoline),2020-01-15,L,312.1666666666667
Fuel (petrol-gasoline),2020-02-15,L,310.5
Fuel (petrol-gasoline),2020-03-15,L,333.625
Fuel (petrol-gasoline),2020-04-15,L,340.21375
Fuel (petrol-gasoline),2020-05-15,L,350.30833333333334
Fuel (petrol-gasoline),2020-06-15,L,376.29125
Fuel (petrol-gasoline),2020-07-15,L,380.76625
Fuel (petrol-gasoline),2020-08-15,L,361.95125
Fuel (petrol-gasoline),2020-09-15,L,377.47
Fuel (petrol-gasoline),2020-10-15,L,440.7000000000001
Fuel (petrol-gasoline),2020-11-15,L,583.034
Fuel (petrol-gasoline),2020-12-15,L,591.8125
Fuel (petrol-gasoline),2021-01-15,L,457.1428571428572
Fuel (petrol-gasoline),2021-02-15,L,467.6785714285714
Fuel (petrol-gasoline),2021-03-15,L,585.9644444444444
Fuel (petrol-gasoline),2021-04-15,L,620.7411111111111
Fuel (petrol-gasoline),2021-05-15,L,697.5972727272728
Fuel (petrol-gasoline),2021-06-15,L,692.9127272727272
Fuel (petrol-gasoline),2021-07-15,L,510.89125
Fuel (petrol-gasoline),2021-08-15,L,633.4241666666667
Fuel (petrol-gasoline),2021-09-15,L,630.3208333333333
Fuel (petrol-gasoline),2021-10-15,L,552.5
Fuel (petrol-gasoline),2021-11-15,L,615.1591666666667
Fuel (petrol-gasoline),2021-12-15,L,584.3162500000001
Fuel (petrol-gasoline),2022-01-15,L,778.006923076923
Fuel (petrol-gasoline),2022-02-15,L,844.7038461538461
Fuel (petrol-gasoline),2022-03-15,L,803.8891666666667
Fuel (petrol-gasoline),2022-04-15,L,784.2761538461539
Fuel (petrol-gasoline),2022-05-15,L,904.2264285714284
Fuel (petrol-gasoline),2022-06-15,L,1011.6315384615384
Fuel (petrol-gasoline),2022-07-15,L,1087.1533333333334
Fuel (petrol-gasoline),2022-08-15,L,1408.4371428571428
Fuel (petrol-gasoline),2022-09-15,L,1411.3246153846155
Fuel (petrol-gasoline),2022-10-15,L,1261.333076923077
Fuel (petrol-gasoline),2022-11-15,L,1301.8273333333334
Fuel (petrol-gasoline),2022-12-15,L,1256.496923076923
Fuel (petrol-gasoline),2023-01-15,L,1221.1591666666666
Fuel (petrol-gasoline),2023-02-15,L,1275.76
